sale_id,product_id,client_id,quantity,unit_price,total_price,sale_date
1,776,29825,1,2024.99,2024.99,2024-08-18 0:00:00
2,777,29825,3,2024.99,6074.98,2025-03-17 0:00:00
3,778,29825,1,2024.99,2024.99,2024-08-10 0:00:00
4,771,29825,1,2039.99,2039.99,2024-11-15 0:00:00
5,772,29825,1,2039.99,2039.99,2024-12-27 0:00:00
6,773,29825,2,2039.99,4079.99,2024-10-13 0:00:00
7,774,29825,1,2039.99,2039.99,2025-05-29 0:00:00
8,714,29825,3,28.84,86.52,2025-02-19 0:00:00
9,716,29825,1,28.84,28.84,2024-11-29 0:00:00
10,709,29825,6,5.7,34.2,2024-08-09 0:00:00
11,712,29825,2,5.19,10.37,2024-09-28 0:00:00
12,711,29825,4,20.19,80.75,2025-05-09 0:00:00
13,762,29672,1,419.46,419.46,2024-12-28 0:00:00
14,758,29672,1,874.79,874.79,2025-05-10 0:00:00
15,745,29734,1,809.76,809.76,2025-04-02 0:00:00
16,743,29734,1,714.7,714.7,2024-08-23 0:00:00
17,747,29734,2,714.7,1429.41,2024-11-30 0:00:00
18,712,29734,4,5.19,20.75,2025-02-04 0:00:00
19,715,29734,4,28.84,115.36,2025-03-11 0:00:00
20,742,29734,2,722.59,1445.19,2025-02-14 0:00:00
21,775,29734,3,2024.99,6074.98,2025-07-01 0:00:00
22,778,29734,2,2024.99,4049.99,2024-07-27 0:00:00
23,711,29734,2,20.19,40.37,2024-10-21 0:00:00
24,741,29734,2,818.7,1637.4,2024-10-12 0:00:00
25,776,29734,4,2024.99,8099.98,2024-12-07 0:00:00
26,773,29734,2,2039.99,4079.99,2024-10-11 0:00:00
27,716,29734,2,28.84,57.68,2025-07-18 0:00:00
28,777,29734,2,2024.99,4049.99,2024-11-05 0:00:00
29,708,29734,5,20.19,100.93,2025-01-17 0:00:00
30,764,29994,3,419.46,1258.38,2025-02-25 0:00:00
31,770,29994,5,419.46,2097.29,2025-01-27 0:00:00
32,730,29994,2,183.94,367.88,2025-05-15 0:00:00
33,754,29994,4,874.79,3499.18,2025-01-27 0:00:00
34,725,29994,3,183.94,551.81,2024-09-19 0:00:00
35,762,29994,5,419.46,2097.29,2024-10-26 0:00:00
36,765,29994,3,419.46,1258.38,2025-05-23 0:00:00
37,768,29994,2,419.46,838.92,2024-12-14 0:00:00
38,753,29994,1,2146.96,2146.96,2025-01-18 0:00:00
39,756,29994,1,874.79,874.79,2024-11-01 0:00:00
40,763,29994,3,419.46,1258.38,2025-06-26 0:00:00
41,732,29994,1,356.9,356.9,2025-05-16 0:00:00
42,758,29994,6,874.79,5248.76,2024-11-10 0:00:00
43,729,29994,1,183.94,183.94,2024-08-22 0:00:00
44,722,29994,3,178.58,535.74,2025-01-27 0:00:00
45,749,29994,1,2146.96,2146.96,2024-11-25 0:00:00
46,760,29994,3,419.46,1258.38,2024-09-25 0:00:00
47,726,29994,1,183.94,183.94,2025-06-05 0:00:00
48,733,29994,1,356.9,356.9,2025-05-19 0:00:00
49,738,29994,1,178.58,178.58,2025-01-28 0:00:00
50,766,29994,3,419.46,1258.38,2024-09-12 0:00:00
51,755,29994,1,874.79,874.79,2024-09-16 0:00:00
52,760,29565,1,419.46,419.46,2024-11-28 0:00:00
53,772,29898,1,2039.99,2039.99,2024-11-16 0:00:00
54,775,29898,4,2024.99,8099.98,2025-02-06 0:00:00
55,714,29898,1,28.84,28.84,2025-04-29 0:00:00
56,716,29898,1,28.84,28.84,2024-10-15 0:00:00
57,777,29898,2,2024.99,4049.99,2025-06-02 0:00:00
58,771,29898,3,2039.99,6119.98,2025-03-06 0:00:00
59,773,29898,1,2039.99,2039.99,2025-02-03 0:00:00
60,778,29898,1,2024.99,2024.99,2025-05-18 0:00:00
61,711,29580,2,20.19,40.37,2025-01-23 0:00:00
62,773,29580,1,2039.99,2039.99,2024-08-19 0:00:00
63,707,29580,1,20.19,20.19,2025-06-07 0:00:00
64,715,29580,2,28.84,57.68,2024-09-21 0:00:00
65,777,29580,2,2024.99,4049.99,2024-10-06 0:00:00
